codigo_noticia,Quantidade de Chunks (Fragmentos),titulo_noticia,Justificativa
281224AGR_A,26,Acampamento do MST sofre ameaça de despejo e tem escola e casas demolidas no RN,Documento Completo/Relatório Longo
071224AGR_A,26,"Na presença de ministros, MST critica paralisia da reforma agrária no governo Lula",Documento Completo/Relatório Longo
031124AGR_A,26,Camponeses de Messias protestam contra crimes da Usina Utinga Leão,Documento Completo/Relatório Longo
040924AGR_B,26,Mostra das Margaridas ocupa Brasília com produção e luta das mulheres camponesas,Documento Completo/Relatório Longo
090324AGR_A,26,MST acusa PM de fazer cerco e impedir entrada de suprimentos em acampamento de MG... Leia mais em https://www.cartacapital.com.br/sociedade/mst-acusa-pm-de-fazer-cerco-e-impedir-entrada-de-suprimentos-em-acampamento-de-mg/. O conteúdo de CartaCapital está protegido pela legislação brasileira sobre direito autoral. Essa defesa é necessária para manter o jornalismo corajoso e transparente de CartaCapital vivo e acessível a todos,Documento Completo/Relatório Longo
010324AGR_A,25,Assentamento do MST é referência em cursos de formação agroecológica no Rio Grande do Sul,Documento Completo/Relatório Longo
040624AGR_C,25,"Líder de assentamento é executado em estrada rural, diz PM",Documento Completo/Relatório Longo
290524AGR_A,25,Fetag reúne autoridades em busca de soluções para regularização fundiária na PB,Documento Completo/Relatório Longo
231024AGR_C,25,PM de Alagoas promove despejo ilegal em Área Revolucionária a serviço de latifundiário ligado ao Ministro da Defesa,Documento Completo/Relatório Longo
210824AGR_B,25,"“No semiárido, a vulnerabilidade das famílias ainda é explorada em troca de votos”  , denuncia ASA; assista à entrevista",Documento Completo/Relatório Longo
050624AGR_B,25,"Homens armados colocam fogo em acampamento de famílias em Silva Jardim, no RJ",Documento Completo/Relatório Longo
070324AGR_B,25,"Comunidades tradicionais entregam à SEMA documento “Salvaguardas Socioambientais para Energia Renovável""",Documento Completo/Relatório Longo
030924AGR_C,25,Assentados da barragem de Manso pedem apoio jurídico da Defensoria,Documento Completo/Relatório Longo
251224AGR_A,25,Escola de Cinema no Campo fomenta produção audiovisual feita por camponeses do MST no Pará,Documento Completo/Relatório Longo
170424AGR_E,25,Trabalhadores do MST ocupam sede da Seduc para reivindicar melhorias na educação no  campo,Documento Completo/Relatório Longo
150424AGR_D,25,MST ocupa fazenda improdutiva em Campinas (SP) em denúncia ao capital imobiliário e por reforma agrária,Documento Completo/Relatório Longo
140324AGR_B,24,Nova condenação: Corte Interamericana considera Estado brasileiro  responsável por morte de sem-terra,Documento Completo/Relatório Longo
161024AGR_D,24,"Decreto autoriza desapropriações de áreas no território quilombola de Arvinha, no norte gaúcho",Documento Completo/Relatório Longo
